#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
1000,1.0000000000000007,-603681.9237264213,69283.56160746014,-534398.3621189612,187.6480565085667,534.0780958296305,0.824540275911516
2000,1.9999999999998905,-570871.2620463455,92651.57306886744,-478219.6889774781,250.93813330985571,534.1147303992244,0.8244837212493775
3000,2.9999999999997806,-554773.9204841596,102552.8595822044,-452221.06090195524,277.75484319103634,523.9650311321883,0.840454752375569
4000,3.9999999999996705,-545602.7272504177,106345.08905209294,-439257.63819832477,288.02574256960514,513.4288231013345,0.8577019455854463
5000,5.000000000000004,-542804.553061387,108042.46418962511,-434762.0888717619,292.62292461876785,498.02791729577865,0.8842253319548865
6000,6.000000000000338,-543097.6628406118,109909.79709095383,-433187.86574965797,297.6804213995209,481.4375563706366,0.9146957786455714
7000,7.000000000000672,-542745.8087576088,110016.14871725923,-432729.6600403495,297.96846484763057,471.2737554252271,0.9344227116918886
8000,8.000000000001005,-543530.0406864756,110547.55986744881,-432982.48081902676,299.4077423216299,462.91570347596564,0.9512939336190056
9000,9.000000000000451,-544169.9016886838,111511.75302615731,-432658.14866252645,302.01916944998095,455.7332923893169,0.9662864395640179
10000,9.999999999999897,-545072.1655217805,111577.75498275657,-433494.4105390239,302.1979295857803,451.5626805131837,0.9752110160945946
11000,10.999999999999343,-544887.0519926995,110727.31874298438,-434159.7332497151,299.8946024490801,448.44436084028484,0.9819922803098857
12000,11.999999999998789,-545726.7493957346,110926.70663403632,-434800.0427616983,300.4346259319839,444.9263744704972,0.9897567906998986
13000,12.999999999998234,-547194.0310596321,111205.77576528958,-435988.2552943425,301.1904586128715,442.7698069003732,0.9945775290697435
14000,13.99999999999768,-548467.1804578719,110499.73257148161,-437967.44788639026,299.278206556896,438.58202265058696,1.0040742158838944
15000,14.999999999997126,-548786.8838889035,109887.79956864938,-438899.08432025416,297.62084316461693,436.19573901243325,1.0095671761734206
16000,15.999999999996572,-550655.5675158724,110613.99331544753,-440041.5742004249,299.5876711115895,435.4890371909348,1.011205479095875
17000,16.999999999997794,-549202.030380785,110243.15451239335,-438958.87586839165,298.5832888446191,435.26877790186046,1.0117171799373814
18000,17.999999999999016,-548744.4930576682,110702.63891352579,-438041.8541441424,299.8277594357387,434.4857286043541,1.0135405411547216
19000,19.000000000000238,-548638.617979805,110881.30647179543,-437757.31150800956,300.31166383228776,433.9054602606828,1.0148959642708686
20000,20.00000000000146,-549411.6650868827,110093.17082182187,-439318.49426506076,298.1770720250627,434.4224545645016,1.0136881642895743
21000,21.000000000002682,-550580.9247913561,111128.2174012796,-439452.7073900765,300.98039902680523,435.28466873235527,1.0116802454267726
22000,22.000000000003904,-549178.9223100226,110770.53918519814,-438408.3831248245,300.01166098063777,435.13459202967493,1.0120291711113345
23000,23.000000000005127,-547779.4549960196,110603.00507484598,-437176.4499211736,299.55791048806645,434.3415338758656,1.0138770210714354
24000,24.00000000000635,-548887.8376720655,111464.16629779653,-437423.67137426895,301.8902852401435,434.02218642842604,1.0146230175868698
25000,25.00000000000757,-549669.985388522,110044.73199824162,-439625.2533902804,298.045879994897,433.77577833155146,1.015199378322756
26000,26.000000000008793,-549082.7945332732,110151.8567820267,-438930.9377512465,298.3360174678385,435.7562889859187,1.0105853010600863
27000,27.000000000010015,-548866.1968123135,110691.74566182378,-438174.45115048974,299.7982560807795,435.09331131023424,1.0121251902667487
28000,28.000000000011237,-546866.9306850582,110392.81257918762,-436474.1181058706,298.98862374258357,435.99983888039685,1.0100207872197455
29000,29.00000000001246,-548800.0174582079,110998.76224774122,-437801.2552104667,300.6297818327279,433.7709852395554,1.0152105960947606
30000,30.00000000001368,-550190.8993195542,110894.9490068421,-439295.9503127121,300.34861336444175,434.3124163630975,1.0139449942078094
31000,31.000000000014904,-549066.90311627,110934.6961338828,-438132.2069823872,300.4562647462117,434.91199544265794,1.012547147717663
32000,32.00000000001612,-549007.8183508902,110686.8462991633,-438320.9720517269,299.7849866145448,433.800745263835,1.0151409496215384
33000,33.00000000001379,-549225.7758852141,109929.21675546968,-439296.5591297444,297.7330177473399,433.69501057297055,1.0153884406276037
34000,34.00000000001146,-548970.1961067091,110255.92598634446,-438714.2701203646,298.6178791891406,432.4406289034212,1.018333780547734
35000,35.00000000000913,-550547.0691448608,110649.81349088938,-439897.25565397146,299.6846867116757,433.35265737737967,1.0161906082652008
36000,36.0000000000068,-550681.4368909895,110716.6712009444,-439964.76569004514,299.86576457579474,433.4843021682061,1.0158820014727614
37000,37.00000000000447,-548708.6296407115,110545.83582660358,-438162.7938141079,299.40307291800156,434.4652489504702,1.0135883170344504
38000,38.00000000000214,-549433.8248938737,111643.80425829114,-437790.0206355825,302.3768178804971,433.0536684947299,1.0168922065118582
39000,38.99999999999981,-550132.2093388429,111277.29436987935,-438854.91496896354,301.3841600745762,433.5555930910506,1.0157149567695212
40000,39.99999999999748,-548982.2510922183,110501.73004591232,-438480.521046306,299.28361652985575,433.512036176345,1.0158170102445008
