#Frame	RMSD
0.0	0.9622
1.0	1.0785
2.0	1.0894
3.0	1.1629
4.0	1.2039
5.0	1.2028
6.0	1.1698
7.0	1.3201
8.0	1.2695
9.0	1.292
10.0	1.3065
11.0	1.2501
12.0	1.2637
13.0	1.3231
14.0	1.3425
15.0	1.352
16.0	1.2699
17.0	1.3554
18.0	1.3452
19.0	1.3293
20.0	1.3307
21.0	1.3801
22.0	1.4103
23.0	1.3789
24.0	1.2925
25.0	1.3945
26.0	1.2903
27.0	1.429
28.0	1.3307
29.0	1.4202
30.0	1.3794
31.0	1.3548
32.0	1.4649
33.0	1.4642
34.0	1.3699
35.0	1.3904
36.0	1.3808
37.0	1.4404
38.0	1.4049
39.0	1.4285
40.0	1.4285
41.0	1.4295
42.0	1.4127
43.0	1.4389
44.0	1.4524
45.0	1.3576
46.0	1.3572
47.0	1.3999
48.0	1.4359
49.0	1.5617
50.0	1.3591
51.0	1.4086
52.0	1.3564
53.0	1.4725
54.0	1.4801
55.0	1.5236
56.0	1.4435
57.0	1.3766
58.0	1.3948
59.0	1.3816
60.0	1.3969
61.0	1.3956
62.0	1.3802
63.0	1.427
64.0	1.4637
65.0	1.4298
66.0	1.4194
67.0	1.4299
68.0	1.4602
69.0	1.5239
70.0	1.5032
71.0	1.465
72.0	1.4344
73.0	1.3699
74.0	1.3229
75.0	1.3877
76.0	1.3653
77.0	1.3879
78.0	1.4397
79.0	1.4363
80.0	1.4159
81.0	1.4148
82.0	1.4045
83.0	1.3908
84.0	1.4008
85.0	1.4246
86.0	1.403
87.0	1.3721
88.0	1.3687
89.0	1.3617
90.0	1.3752
91.0	1.4963
92.0	1.5325
93.0	1.4827
94.0	1.3984
95.0	1.4067
96.0	1.4477
97.0	1.4391
98.0	1.4831
99.0	1.5989
